file,line,token,context,classification,decision
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,133,M5/M_5,\item Paper 2 uses $\Bulk = \mathcal{M}^5$; Book uses ``5D bulk'' or $M_5$,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,334,M5/M_5,\subsection{\texorpdfstring{Candidate Mechanism C: Bulk Topology $\pi_1(M_5)$}{Candidate Mechanism C,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,339,M5/M_5,If the 5D bulk manifold $M_5$ has nontrivial fundamental group:,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,341,M5/M_5,\pi_1(M_5) = \mathbb{Z}_3,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,369,M5/M_5,$M_5$ topology specified & No & \textcolor{red!80!black}{\textbf{RED}} & EDC bulk metric not fully c,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,370,M5/M_5,$\pi_1(M_5)$ computed & No & \textcolor{red!80!black}{\textbf{RED}} & No calculation exists (OPR-03),CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,378,M5/M_5,"This mechanism requires knowing the global topology of $M_5$, which is not",CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,385,M5/M_5,but EDC currently provides \textbf{no constraint or calculation} of $\pi_1(M_5)$.,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,402,M5/M_5,C: $\pi_1(M_5) = \mathbb{Z}_3$ & No \tagP{} & No & \textcolor{red!80!black}{\textbf{RED}} (OPR-03) \,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,501,M5/M_5,"\item \textbf{Bulk topology:} Constrain $\pi_1(M_5)$ from EDC dynamics,",CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_three_generations.tex,605,M5/M_5,$\pi_1(M_5) = \mathbb{Z}_3$ & \tagP{} & Not computed \\,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,70,\Delta z,it is $\sim e^{-\Delta z/\kappa^{-1}}$ where $\Delta z$ is the separation and $\kappa^{-1}$,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,71,\Delta z,"is the penetration depth. With $\Delta z/\kappa^{-1} \approx 14$, we get $m_\nu/m_e \sim 10^{-6}$",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,93,\Delta z,"\item Large neutrino mass ($m_\nu > 1$ eV): would require $\Delta z/\kappa^{-1} < 14$,",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,434,\Delta z,\frac{m_\nu}{m_e} \sim \exp\left(-\frac{\Delta z}{\kappa^{-1}}\right),CLASS_3D_Z,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,437,\Delta z,where $\Delta z$ is the separation between the neutrino interface position,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,442,z),For the electron (interior mode) with profile $f_e(z)$ peaked at $\xi = z_H$:,CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,457,\Delta z,\frac{m_\nu}{m_e} \approx e^{-2\kappa z_H} = e^{-\Delta z/\kappa^{-1}},CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,458,\Delta z,\quad \text{with } \Delta z \equiv 2\kappa z_H,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,465,\Delta z,e^{-\Delta z / \kappa^{-1}} \sim 10^{-6},CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,467,\Delta z,\frac{\Delta z}{\kappa^{-1}} \approx 14,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,485,\Delta z,$m_\nu/m_e \sim 10^{-6}$ & YELLOW & \tagI{} & Requires $\Delta z/\kappa^{-1} \approx 14$ \\,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,530,\Delta z,m_{\nu_i} \propto f(n_i) \cdot e^{-\Delta z_i/\kappa^{-1}},CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,536,\Delta z,and the dependence of $\Delta z$ on mode number are not derived.,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,701,\Delta z,"If $\Delta z / \kappa^{-1} \ll 14$, the mass ratio $m_\nu/m_e$ would be",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_neutrinos_edge_modes.tex,757,\Delta z,Absolute neutrino mass scale & Derive $\kappa^{-1}$ and $\Delta z$ from EDC action \\,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,66,\Delta z,"If generations are well-separated (distance $\Delta z \gg$ profile width $\kappa$),",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,97,\Delta z,Single parameter $\Delta z/\kappa \approx 1.5$ produces Wolfenstein,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,102,\Delta z,"Two parameters: $\Delta z_{12}/(2\kappa) = 1.49$, $\Delta z_{23}/(2\kappa) = 3.17$.",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,446,\Delta z,"$\Delta z$, the CKM matrix is nearly diagonal with small off-diagonal",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,460,z),f_i^{(u)}(z) &= N_u \exp\!\bigl(-|z - z_i^{(u)}|/\kappa_u\bigr),CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,462,z),f_j^{(d)}(z) &= N_d \exp\!\bigl(-|z - z_j^{(d)}|/\kappa_d\bigr),CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,471,z),of the 5D Dirac boundary value problem. The full derivation of $f_i(z)$ from,CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,505,\Delta z,Arrows indicate $\Delta z_{12}$ and $\Delta z_{23}$ separations.,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,511,\Delta z,($\Delta z \gg \kappa$) produce exponential suppression of off-diagonal,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,521,\Delta z,Define the \textbf{inter-generation separation} $\Delta z$ (characteristic,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,526,\Delta z,"|V_{i,i\pm 1}| &\sim \exp(-\Delta z/2\kappa) \equiv \lambda",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,528,\Delta z,"|V_{i,i\pm 2}| &\sim \exp(-2\Delta z/2\kappa) = \lambda^2",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,541,\Delta z,\frac{\Delta z}{2\kappa} = -\ln\lambda \approx 1.49,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,572,\Delta z,\item Non-uniform generation spacing: $\Delta z_{12} < \Delta z_{23}$,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,683,z),\item Derivation of $f_i(z)$ from 5D Dirac BVP,CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,693,\Delta z,The uniform-spacing model (Attempt~2) uses a single parameter $\Delta z/(2\kappa)$,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,697,\Delta z,$\Delta z_{12} \neq \Delta z_{23}$.,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,705,\Delta z,|V_{us}| &= \exp\bigl(-\Delta z_{12}/(2\kappa)\bigr),CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,706,\Delta z,\quad\Rightarrow\quad \Delta z_{12}/(2\kappa) = -\ln|V_{us}| \approx 1.49,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,708,\Delta z,|V_{cb}| &= \exp\bigl(-\Delta z_{23}/(2\kappa)\bigr),CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,709,\Delta z,\quad\Rightarrow\quad \Delta z_{23}/(2\kappa) = -\ln|V_{cb}| \approx 3.17,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,724,\Delta z,|V_{ub}|_{\text{pred}} = \exp\Bigl(-\frac{\Delta z_{12} + \Delta z_{23}}{2\kappa}\Bigr),CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,803,\Delta z,\Delta z/(2\kappa_q) \approx 1.5 \\,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,805,\Delta z,\Delta z/(2\kappa_\ell) \approx 0.6,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,808,\Delta z,If the inter-generation spacing $\Delta z$ is \emph{universal} (same for quarks,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,1012,\Delta z,Single parameter $\Delta z/\kappa$ produces Wolfenstein hierarchy,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,1015,\Delta z,"Two parameters ($\Delta z_{12}$, $\Delta z_{23}$) calibrated from $|V_{us}|$, $|V_{cb}|$.",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/07_ckm_cp.tex,1047,\Delta z,Wolfenstein hierarchy from $\Delta z/\kappa$ & \textcolor{OliveGreen}{GREEN} & \tagDc{} \\,CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,250,z),\item \textbf{Bridge:} The same fermion profiles $f_{L/R}(z)$ enter both,CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,275,"x^\mu, z)","\textbf{The setup.} Consider a fermion field $\Psi(x^\mu, z)$ in the 5D EDC geometry.",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,276,"x^\mu, z)","The coordinates are $x^M = (x^\mu, z)$ where $\mu = 0,1,2,3$ and $\xi$ is",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,309,",z)","\Psi(x,z) = \Psi_L(x,z) + \Psi_R(x,z), \qquad \Psi_{L/R} = P_{L/R} \Psi",CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,396,z),m(\xi) \sim \kappa \left( T^{zz}(z) - T^{zz}(0) \right),CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,409,z),T^{zz}(z) > T^{zz}(0) \quad \text{for } \xi > 0,CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,520,z),f_L^{\text{(toy)}}(z) = \frac{1}{(\pi w_L^2)^{1/4}} \exp\left(-\frac{z^2}{2w_L^2}\right),CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,527,z),f_R^{\text{(toy)}}(z) = \frac{1}{(\pi w_R^2)^{1/4}} \exp\left(-\frac{(z - z_0)^2}{2w_R^2}\right),CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_va_structure.tex,1079,z),\item $[f_{L/R}(z)] = [\text{mass}]^{1/2}$ (profile function),CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/11_gf_derivation.tex,404,M5/M_5,Combining $G_5 \sim g_5^2/M_5^2$ with $I_4$ \tagP{}:,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/11_gf_derivation.tex,406,M5/M_5,G_F \sim \frac{g_5^2}{M_5^2} \times I_4,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_g5_ell_suppression_attempt2.tex,270,z),\item \textbf{Output:} KK spectrum $\{m_n\}$ and mode profiles $\{f_n(z)\}$,CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_g5_value_closure_attempt2_coefficient.tex,257,z),"$S_{\text{brane}} = \int d^4x\, \delta(z) (-\frac{1}{4g_b^2}) F^2$,",CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_opr20_attemptD_interpretation_robin_overcount.tex,248,M5/M_5,then $\kappa \sim \sigma/M_5^3$ where $M_5$ is the 5D Planck scale.,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_opr20_attemptD_interpretation_robin_overcount.tex,259,M5/M_5,$M_5 \sim 10^{16}$ GeV. This gives:,CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_opr20_attemptD_interpretation_robin_overcount.tex,261,M5/M_5,\kappa \sim \frac{\sigma}{M_5^3} \sim \frac{10^{14}}{10^{48}} \text{ GeV}^{-2},CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_opr20_attemptF_mediator_bvp_junction.tex,23,"x^\mu, z)","Consider a scalar or gauge mediator $\phi(x^\mu, z)$ propagating in the thick-brane",CLASS_VIOLATION_Z_AS_5D,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_opr20_attemptF_mediator_bvp_junction.tex,24,",z)","background. Separating variables $\phi(x,z) = \varphi(x) f(\xi)$, the extra-dimensional",CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch12_bvp_workpackage.tex,222,z),"f_n(z) = \sqrt{\frac{2}{\ell}} \sin\left(\frac{n\pi z}{\ell}\right), \quad",CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,276,M5/M_5,\frac{M_5^3}{2} R_5 + \mathcal{L}_{\text{bulk matter}},CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,280,M5/M_5,where $M_5$ is the 5D Planck mass and $R_5$ is the 5D Ricci scalar. \tagP{},CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,297,M5/M_5,[K_{ab}] - g_{ab}[K] = -\frac{1}{M_5^3} S_{ab},CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,305,M5/M_5,"S_{\text{GHY}} = M_5^3 \int_{\partial\mathcal{M}} d^4x \sqrt{-h}\, K",CLASS_VIOLATION_MANIFOLD,VIOLATION
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,331,z),V(\xi) = V_{\text{warp}}(z) + V_{\text{mass}}(z) + V_{\text{coupling}}(z),CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,441,z),\emph{Status: \tagP{} (toy ansatz).},CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,529,z),\emph{Status: \tagP{} (toy ansatz).},CLASS_UNKNOWN,NEEDS_REVIEW
/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch14_bvp_closure_pack.tex,956,z),\item Mode localization profiles $f_{L/R}(z)$,CLASS_UNKNOWN,NEEDS_REVIEW
