LR_separation_delta,fermion_width_delta,converged,normalizable,M_eff,I_4,epsilon,X_EDC,X_ratio,log_ratio,gate1_pass,gate2_pass,gate3_pass,all_gates_pass,fail_codes,error
0.5,1.0,True,True,2.4321417179470415,0.09493916682763029,0.679974009376308,1.448421897934666e-10,47.645457168903484,1.6780214984574442,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.8,True,True,2.432141717947318,0.10218741937028324,0.6147659271370384,1.5590035267324664e-10,51.2830107477785,1.7099735140295536,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.6,True,True,2.4321417179467733,0.10954921338073897,0.5369471430625368,1.6713173800050208e-10,54.977545394902,1.7401853458158072,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.4,True,True,2.432141717947092,0.11636828138732072,0.44118591736884716,1.7753512340426172e-10,58.39971164613873,1.7664107027493865,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.3,True,True,2.432141717947216,0.11922532237840562,0.38298961302863954,1.818939153265458e-10,59.83352477846901,1.776944587778514,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.2,True,True,2.432141717947015,0.1214392442259915,0.3133193456579752,1.8527154438264446e-10,60.94458696797515,1.7849351381031187,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.1,True,True,2.4321417179477107,0.12413446597464574,0.22309441310919145,1.893834597605468e-10,62.29719071070618,1.7944684626086524,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.05,True,True,2.4321417179475815,0.18426096123247626,0.19239584307904015,2.811143388987673e-10,92.47182200617345,1.9660094147763083,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.02,True,True,2.4321417179467804,0.0003210261011140835,0.005046306448822613,4.897675534761512e-13,0.16110774785399712,-0.7928835733652232,True,True,True,True,,
1.0,1.0,True,True,2.432141717947166,0.08990861124731189,0.6783975025540718,1.371674154039326e-10,45.12086033024099,1.6543773718510426,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.8,True,True,2.432141717946759,0.09586947072936167,0.6133243845273575,1.4626149079226352e-10,48.11233249745511,1.6822564121139212,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.6,True,True,2.432141717946596,0.10165123382256686,0.5356485594135769,1.5508233107633195e-10,51.01392469616182,1.7076887367505302,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.4,True,True,2.4321417179473412,0.106673476394923,0.4400140184137427,1.6274442287839662e-10,53.53434963105152,1.7286325309608845,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.3,True,True,2.4321417179469056,0.1086540985805182,0.3818709638120443,1.6576612260577622e-10,54.52832980453165,1.7366221955084924,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.2,True,True,2.4321417179465836,0.11016686643445116,0.31230585403844324,1.68074048996313e-10,55.28751611720822,1.7426270789815683,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.1,True,True,2.4321417179476224,0.11196676987627968,0.22207998101315782,1.7082003850337083e-10,56.19080213926672,1.7496652318131902,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.05,True,True,2.432141717946827,0.14283975027549392,0.17790893355548013,2.1792083194727271e-10,71.68448419318182,1.8554251646150355,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.02,False,False,nan,nan,nan,nan,nan,nan,False,False,False,False,,w_R not normalizable. 
1.5,1.0,True,True,2.432141717946702,0.08220473762517065,0.6757791974980977,1.2541414262301262e-10,41.25465217862257,1.615472929893989,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.8,True,True,2.432141717946301,0.08634123426182863,0.61094173979934,1.3172491246596824e-10,43.33056331117376,1.6367943350381629,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.6,True,True,2.432141717947031,0.08997409712096822,0.5335408048528149,1.3726732271994675e-10,45.153724578929854,1.6546935796187627,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.4,True,True,2.4321417179473674,0.09271482748061773,0.43825002833728216,1.414486674713926e-10,46.529166931379145,1.6677252768972495,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.3,True,True,2.4321417179473515,0.09365108636704542,0.38033573447777436,1.428770535827868e-10,46.99903078381144,1.6720889019871514,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.2,True,True,2.432141717947126,0.09428808619260746,0.31105555223676756,1.438488806244385e-10,47.318710731723186,1.6750329031214424,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.1,True,True,2.4321417179464473,0.0950494620939294,0.22083002845134866,1.4501045973342032e-10,47.70080912283563,1.678525745803267,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.05,True,True,2.432141717947505,0.10993417937887844,0.16834160234690296,1.677190542791272e-10,55.17074153918659,1.7417088212644747,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.02,True,True,2.432141717946442,2.883752144263441e-14,5.633372719441508e-08,4.3995433007672744e-23,1.4472181910418667e-11,-10.839465987179578,False,True,True,False,FAIL_I4_TOO_SMALL,
2.0,1.0,True,True,2.4321417179465383,0.072683218042951,0.6721281127335577,1.1088781178894352e-10,36.47625387794195,1.5620102297748524,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.8,True,True,2.4321417179471427,0.07481566700147534,0.607630868949928,1.141411432336041e-10,37.54642869526451,1.5745686345039518,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.6,True,True,2.432141717947593,0.07620950125567852,0.5306383185609289,1.1626762077000768e-10,38.24592788487095,1.582585201809258,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.4,True,True,2.432141717947036,0.07672147931674086,0.4358633260097188,1.1704871066128697e-10,38.50286534910756,1.5854930505215195,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.3,True,True,2.4321417179469265,0.07668696852766374,0.3782681781474157,1.1699605991210243e-10,38.4855460237179,1.5852976526053975,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.2,True,True,2.4321417179470552,0.07654254800056995,0.3093554060054342,1.167757273971295e-10,38.413068222739966,1.5844789975839983,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.1,True,True,2.4321417179465774,0.07648006582537195,0.2192712342388179,1.166804026183602e-10,38.38171138761849,1.5841243354236503,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.05,True,True,2.432141717947211,0.07860086278425174,0.15746125899061883,1.1991595740454627e-10,39.446038619916536,1.596003395583609,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.02,True,True,2.4321417179466756,1.3875036561239575e-32,2.419425724821801e-17,2.1168193761840263e-41,6.963221632184297e-30,-29.157189781457653,False,True,True,False,FAIL_I4_TOO_SMALL,
3.0,1.0,True,True,2.4321417179469274,0.0518323648393919,0.6617597992071367,7.907709195660635e-11,26.012201301515248,1.4151771062384826,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.8,True,True,2.432141717946777,0.050630584301605386,0.5982503575396275,7.724361763236551e-11,25.409084747488656,1.4049890217495409,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.6,True,True,2.4321417179470153,0.04871774271857066,0.5224436075965442,7.432532613188058e-11,24.449120438118612,1.3882632399118862,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.4,True,True,2.4321417179466778,0.046421812625711226,0.4291353470478074,7.082258270814287e-11,23.296902206625944,1.3672981766478864,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.3,True,True,2.432141717947096,0.045340884438073124,0.3724273338055695,6.917348454412014e-11,22.75443570530268,1.3570660697649792,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.2,True,True,2.4321417179473026,0.04444805893685961,0.3045513785634137,6.781136177623142e-11,22.30636900533928,1.3484288822837334,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.1,True,True,2.4321417179475007,0.04366625037599599,0.21524467151230184,6.66186099569389e-11,21.914016433203585,1.3407219829882357,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.05,True,True,2.432141717946886,0.03670714862300032,0.14034955363343488,5.6001584649286585e-11,18.42157389779164,1.2653267325885884,False,True,True,False,FAIL_I4_TOO_LARGE,
3.0,0.02,False,False,nan,nan,nan,nan,nan,nan,False,False,False,False,,w_R not normalizable. 
4.0,1.0,True,True,2.4321417179468554,0.033265209771366,0.6473581574843847,5.07504540878503e-11,16.69422831837181,1.2225663488280323,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.8,True,True,2.432141717947025,0.03052795168435835,0.585229915476689,4.6574406745107485e-11,15.32052853457483,1.1852737480439688,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.6,True,True,2.4321417179470397,0.02757032065129543,0.5110740345542926,4.206215147950383e-11,13.836234039310469,1.1410178994771494,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.4,True,True,2.4321417179461995,0.024880955892163558,0.41979570606069133,3.795917170961835e-11,12.486569641321825,1.0964431437011166,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.3,True,True,2.4321417179469336,0.023818742560549933,0.3643175025922508,3.6338625520707154e-11,11.953495237074721,1.0774949128343292,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.2,True,True,2.4321417179465703,0.023019865524956388,0.29789685157937196,3.511983349759851e-11,11.552576808420563,1.0626788646490697,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.1,True,True,2.4321417179464992,0.02232426115826781,0.21003737513484722,3.4058597518101805e-11,11.203486025691383,1.0493531767914663,False,True,True,False,FAIL_I4_TOO_LARGE,
4.0,0.05,True,True,2.432141717947941,0.014136312459925703,0.11867431341144816,2.156680452037518e-11,7.094343592228678,0.8509122183331858,True,True,True,True,,
4.0,0.02,True,True,2.432141717946837,5.967497670965935e-33,-4.839025929200039e-17,9.104202818838213e-42,2.9948035588283595e-30,-29.52363165945658,False,True,True,False,FAIL_I4_TOO_SMALL,
6.0,1.0,True,True,2.432141717946876,0.0108577435521882,0.6068151426112897,1.6564916302355332e-11,5.44898562577478,0.7363156622526262,True,True,True,True,,
6.0,0.8,True,True,2.432141717947053,0.008749206810276688,0.5485743939601709,1.3348066090122497e-11,4.390811213856084,0.6425447646964805,True,True,True,True,,
6.0,0.6,True,True,2.4321417179470073,0.007053992245065261,0.4790641851916041,1.0761793237731063e-11,3.5400635650431127,0.5490110602460193,True,True,True,True,,
6.0,0.4,True,True,2.4321417179469753,0.005899665510765314,0.39350180338733126,9.000715934022636e-12,2.960761820402183,0.47140347181160225,True,True,True,True,,
6.0,0.3,True,True,2.432141717947096,0.005524683973641142,0.3414944727487547,8.428632264193538e-12,2.772576402695243,0.44288352265231085,True,True,True,True,,
6.0,0.2,True,True,2.432141717947248,0.005267150924817108,0.27920937587737393,8.035731715532956e-12,2.6433328011621566,0.42215184516325205,True,True,True,True,,
6.0,0.1,True,True,2.4321417179474056,0.0050392760741603555,0.19622563954417802,7.688078650196949e-12,2.5289732401963647,0.4029442339721069,True,True,True,True,,
6.0,0.05,True,True,2.432141717946607,0.0021386709395271163,-0.09084405348234047,3.2628238953400625e-12,1.0732973339934417,0.03072005060021334,True,True,True,True,,
6.0,0.02,True,True,2.432141717947499,4.665503994624713e-33,-8.646752978805465e-17,7.117840167043546e-42,2.34139479179064e-30,-29.630525352027238,False,True,True,False,FAIL_I4_TOO_SMALL,
8.0,1.0,True,True,2.432141717946542,0.0029000455501526135,0.5514892388896571,4.4244010351145e-12,1.455395077340296,0.16298090165073364,True,True,True,True,,
8.0,0.8,True,True,2.4321417179466427,0.002080577218164131,0.4985324922565153,3.1741942802228885e-12,1.0441428553364764,0.018759921118381036,True,True,True,True,,
8.0,0.6,True,True,2.432141717946802,0.0015495377544301862,0.43536409040394985,2.3640237113819345e-12,0.7776393787440574,-0.10922175536286563,True,True,True,True,,
8.0,0.4,True,True,2.432141717946781,0.0012475437998029158,0.3576103426526629,1.903292201361163e-12,0.6260829609740668,-0.203368115501954,True,True,True,True,,
8.0,0.3,True,True,2.4321417179468825,0.0011577621733453239,0.3103488571406315,1.7663185179606803e-12,0.5810258282765396,-0.23580456153624627,True,True,True,True,,
8.0,0.2,True,True,2.4321417179470832,0.0010977787732668952,0.2537415343505447,1.6748059493448359e-12,0.5509230096529065,-0.2589090886602535,True,True,True,True,,
8.0,0.1,True,True,2.4321417179478,0.0010446889849930162,0.1781168292730766,1.5938104925034018e-12,0.5242797672708559,-0.2804369020272072,True,True,True,True,,
8.0,0.05,True,True,2.432141717947637,0.0003329196125253124,0.07148407570210583,5.079126699192947e-13,0.16707653615766274,-0.7770845371369085,True,True,True,True,,
8.0,0.02,True,True,2.432141717947152,3.934261254657266e-34,2.9798364551239967e-17,6.002233160300438e-43,1.9744188027304072e-31,-30.70456072176599,False,True,True,False,FAIL_I4_TOO_SMALL,
10.0,1.0,True,True,2.432141717946669,0.0006849419384100921,0.4828442350553038,1.0449690423431974e-12,0.3437398165602623,-0.46377015913170305,True,True,True,True,,
10.0,0.8,True,True,2.432141717946923,0.00044363241656095057,0.436332862826553,6.768196185534776e-13,0.2226380324189071,-0.6524006447686381,True,True,True,True,,
10.0,0.6,True,True,2.432141717947379,0.0003115552767828421,0.38103486843619677,4.753185649169898e-13,0.15635479109111505,-0.8058888063778519,True,True,True,True,,
10.0,0.4,True,True,2.432141717946992,0.00024398595337156887,0.31299059162370935,3.7223267220522106e-13,0.12244495796224378,-0.9120590935466888,True,True,True,True,,
10.0,0.3,True,True,2.432141717947699,0.0002246171377930555,0.27163215879972374,3.42682995755983e-13,0.11272466965657335,-0.947981028734078,True,True,True,True,,
10.0,0.2,True,True,2.4321417179471583,0.0002118266540606641,0.2220989631981714,3.2316943002534855e-13,0.10630573356096992,-0.9734433113305169,True,True,True,True,,
10.0,0.1,True,True,2.432141717947504,0.00020116370821472772,-0.15599789235193887,3.069017032526166e-13,0.10095450764888704,-0.9958742849092217,True,True,True,True,,
10.0,0.05,True,True,2.432141717946312,5.665646491049907e-05,0.058883399610250235,8.643689130427499e-14,0.028433187929037828,-1.5461744444821974,False,True,True,False,FAIL_I4_TOO_SMALL,
10.0,0.02,True,True,2.4321417179468097,8.422559696852056e-35,-3.61086594308143e-17,1.2849722942833313e-43,4.2268825469846424e-32,-31.37397981980882,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,1.0,True,True,2.432141717946632,0.00014820751815905803,0.4031443050394198,2.261100680712175e-13,0.07437831186553208,-1.1285536828714269,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.8,True,True,2.432141717946201,8.650831679902674e-05,0.3636007930217819,1.3197981885891153e-13,0.043414414098326165,-1.362366055647426,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.6,True,True,2.432141717946904,5.7273502285152244e-05,0.31740247082242234,8.737826300061037e-14,0.02874284967125341,-1.5414701765236913,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.4,True,True,2.4321417179471596,4.3366299349932034e-05,0.2607240334379179,6.616099520324087e-14,0.02176348526422397,-1.6622715542948383,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.3,True,True,2.432141717947239,3.948028621676586e-05,0.2262793851663414,6.023237090009953e-14,0.01981327990134853,-1.7030436251606553,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.2,True,True,2.4321417179472293,3.694502882883155e-05,0.18503486979680184,5.636450220029232e-14,0.01854095467114879,-1.7318679078539971,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.1,True,True,2.4321417179470575,3.504911214040005e-05,-0.13020617335933365,5.347203185329412e-14,0.017589484162267802,-1.754746896686118,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.05,True,True,2.432141717947606,1.0994749385385889e-05,-0.051902167173720724,1.6773936726243262e-14,0.005517742344158968,-2.258238583146893,False,True,True,False,FAIL_I4_TOO_SMALL,
12.0,0.02,True,True,2.432141717946791,9.515241672259802e-36,1.6688971092796082e-17,1.4516753056477619e-44,4.7752477159465854e-33,-32.32100409447223,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,1.0,False,False,nan,nan,nan,nan,nan,nan,False,False,False,False,,w_L not normalizable. 
15.0,0.8,True,True,2.432141717947756,6.2565496968476225e-06,0.24132371262932295,9.545189713828313e-15,0.003139865037443524,-2.5030890190456483,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,0.6,True,True,2.432141717947194,3.5259094667750498e-06,0.20834514950653338,5.379238782539205e-15,0.0017694864416247385,-2.7521527607179714,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,0.4,True,True,2.43214171794669,2.411988975484368e-06,0.1708152924265265,3.679806518644133e-15,0.0012104626706066226,-2.9170485991999713,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,0.3,True,True,2.4321417179464664,2.1193288043348555e-06,0.1482503261998288,3.233314923330858e-15,0.0010635904353062033,-2.973225576861733,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,0.2,True,True,2.4321417179474865,1.9332126140175727e-06,0.12124939581130628,2.9493701883747994e-15,0.0009701875619653945,-3.013144297432508,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,0.1,True,True,2.4321417179467426,1.8186533912544852e-06,0.08563638115370917,2.7745950219147664e-15,0.0009126957308930153,-3.0396739808645563,False,True,True,False,FAIL_I4_TOO_SMALL,
15.0,0.05,False,False,nan,nan,nan,nan,nan,nan,False,False,False,False,,w_R not normalizable. 
15.0,0.02,True,True,2.432141717946673,2.639759589362655e-06,0.05320298332769472,4.0273005570597605e-15,0.0013247699200854474,-2.8778595414357153,False,True,True,False,FAIL_I4_TOO_SMALL,
